Label (Grouping),Median income (dollars)
"Census Tract 3015.01, Los Angeles County, California",
    Households,
        Estimate,"94,375"
        Margin of Error,"±16,765"
    Families,
        Estimate,"96,875"
        Margin of Error,"±30,240"
    Married-couple families,
        Estimate,"96,250"
        Margin of Error,"±37,099"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 3015.02, Los Angeles County, California",
    Households,
        Estimate,"50,205"
        Margin of Error,"±6,307"
    Families,
        Estimate,"52,783"
        Margin of Error,"±9,680"
    Married-couple families,
        Estimate,"51,667"
        Margin of Error,"±16,849"
    Nonfamily households,
        Estimate,"30,388"
        Margin of Error,"±20,729"
"Census Tract 3016.01, Los Angeles County, California",
    Households,
        Estimate,"39,053"
        Margin of Error,"±16,175"
    Families,
        Estimate,"42,199"
        Margin of Error,"±11,247"
    Married-couple families,
        Estimate,"42,235"
        Margin of Error,"±29,813"
    Nonfamily households,
        Estimate,"21,676"
        Margin of Error,"±21,467"
"Census Tract 3016.02, Los Angeles County, California",
    Households,
        Estimate,"65,947"
        Margin of Error,"±8,431"
    Families,
        Estimate,"80,268"
        Margin of Error,"±14,605"
    Married-couple families,
        Estimate,"87,934"
        Margin of Error,"±11,348"
    Nonfamily households,
        Estimate,"44,671"
        Margin of Error,"±24,038"
"Census Tract 3017.01, Los Angeles County, California",
    Households,
        Estimate,"84,688"
        Margin of Error,"±14,822"
    Families,
        Estimate,"103,594"
        Margin of Error,"±35,297"
    Married-couple families,
        Estimate,"127,534"
        Margin of Error,"±28,311"
    Nonfamily households,
        Estimate,"51,685"
        Margin of Error,"±38,933"
"Census Tract 3017.02, Los Angeles County, California",
    Households,
        Estimate,"56,571"
        Margin of Error,"±11,227"
    Families,
        Estimate,"63,771"
        Margin of Error,"±8,487"
    Married-couple families,
        Estimate,"63,966"
        Margin of Error,"±12,804"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 3018.01, Los Angeles County, California",
    Households,
        Estimate,"58,779"
        Margin of Error,"±9,971"
    Families,
        Estimate,"66,328"
        Margin of Error,"±14,769"
